,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
166,24067,01,11,13,17,25,29,03
167,24066,08,09,12,22,26,32,13
168,24065,03,05,09,10,19,22,14
169,24064,06,08,17,18,28,30,05
170,24063,07,14,16,23,28,32,04
171,24062,01,07,10,16,18,27,16
172,24061,01,09,18,22,25,28,02
173,24060,01,02,06,10,22,28,15
174,24059,01,03,14,25,31,33,07
175,24058,08,12,13,17,27,29,13
176,24057,03,08,17,18,23,31,08
177,24056,05,18,20,24,25,26,06
178,24055,02,04,06,07,16,29,03
179,24054,08,13,20,25,31,32,03
180,24053,07,14,21,22,28,33,07
181,24052,07,10,11,15,17,21,03
182,24051,05,09,13,20,23,28,06
183,24050,01,03,07,10,22,33,02
184,24049,12,15,17,23,26,32,11
185,24048,02,09,15,19,26,28,02
186,24047,07,08,21,26,29,30,15
187,24046,02,06,10,11,17,29,15
188,24045,02,08,19,23,24,26,03
189,24044,02,06,17,25,32,33,06
190,24043,04,06,07,14,15,24,08
191,24042,02,04,05,14,26,32,14
192,24041,02,09,12,22,25,33,16
193,24040,11,14,18,19,23,26,02
194,24039,02,06,12,29,30,31,10
195,24038,08,10,18,23,27,31,02
196,24037,01,04,05,06,12,14,13
197,24036,02,08,09,12,21,31,02
198,24035,05,07,14,17,22,32,06
199,24034,02,09,12,19,21,31,04
200,24033,06,10,11,18,20,32,05
201,24032,01,03,04,11,12,21,16
202,24031,09,10,13,25,30,32,02
203,24030,01,08,22,25,29,33,10
204,24029,12,18,23,25,28,33,04
205,24028,03,07,08,11,18,19,05
206,24027,02,06,13,27,28,32,13
207,24026,04,07,18,19,20,25,06
208,24025,08,15,21,22,25,33,13
209,24024,03,07,21,24,26,30,10
210,24023,01,10,22,25,28,32,10
211,24022,02,09,11,14,18,26,06
212,24021,04,06,16,17,23,24,11
213,24020,03,08,12,14,17,33,08
214,24019,05,11,12,16,17,20,08
215,24018,06,15,17,24,28,29,16
216,24017,04,17,19,20,25,32,04
217,24016,07,12,20,24,32,33,04
218,24015,03,08,17,18,20,30,15
219,24014,01,02,10,22,24,25,13
220,24013,01,07,10,14,21,25,07
221,24012,01,03,07,18,22,28,15
222,24011,08,12,16,20,27,31,06
223,24010,11,16,20,21,23,24,04
224,24009,01,04,07,10,17,23,14
225,24008,08,20,21,23,27,30,13
226,24007,04,05,06,07,20,22,15
227,24006,07,18,20,21,26,32,05
228,24005,05,06,20,23,25,32,03
229,24004,09,13,17,18,21,27,04
230,24003,01,05,08,13,32,33,03
231,24002,04,09,10,17,19,20,09
232,24001,03,07,16,26,27,32,16
233,23151,01,15,16,20,25,27,05
234,23150,10,17,25,26,30,33,05
235,23149,02,10,19,24,26,33,15
