,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
713,20105,06,14,19,20,22,24,01
714,20104,04,08,10,16,27,29,09
715,20103,04,09,10,22,28,32,08
716,20102,09,10,19,25,26,29,08
717,20101,10,17,24,25,28,30,15
718,20100,01,07,15,16,20,23,07
719,20099,05,06,11,12,15,30,12
720,20098,06,08,11,22,25,33,02
721,20097,02,08,21,25,26,30,10
722,20096,01,20,23,26,27,32,15
723,20095,03,09,16,17,20,26,02
724,20094,10,15,17,27,29,31,08
725,20093,04,05,10,13,15,19,15
726,20092,01,06,12,18,22,24,03
727,20091,01,09,11,12,16,19,16
728,20090,02,21,23,26,31,32,06
729,20089,02,14,16,21,29,30,10
730,20088,01,06,12,26,29,30,12
731,20087,11,15,20,23,25,33,10
732,20086,02,04,06,15,24,27,06
733,20085,01,02,05,09,19,24,16
734,20084,03,07,16,17,23,30,07
735,20083,01,19,25,26,30,31,12
736,20082,02,08,11,17,21,30,09
737,20081,01,05,13,14,27,33,15
738,20080,14,15,18,22,31,33,01
739,20079,05,12,20,21,22,29,14
740,20078,03,11,14,16,21,32,04
741,20077,03,10,16,21,25,27,12
742,20076,10,15,16,18,20,27,06
743,20075,03,11,13,20,24,30,16
744,20074,04,08,09,13,19,33,12
745,20073,05,07,11,13,27,29,03
746,20072,06,08,10,15,17,26,04
747,20071,09,11,12,13,22,23,08
748,20070,01,02,04,06,19,21,15
749,20069,03,09,10,13,18,26,04
750,20068,12,16,21,26,27,32,10
751,20067,04,07,09,23,27,30,08
752,20066,02,09,13,17,26,28,07
753,20065,09,15,18,21,23,26,08
754,20064,01,03,07,21,27,32,01
755,20063,12,15,16,22,29,32,14
756,20062,10,14,17,22,26,27,05
757,20061,08,17,24,26,27,31,04
758,20060,05,09,14,20,24,30,08
759,20059,02,04,10,17,22,25,14
760,20058,01,03,11,12,19,26,07
761,20057,09,14,21,23,26,32,03
762,20056,02,05,08,12,26,31,14
763,20055,01,05,07,23,28,30,12
764,20054,03,10,19,25,26,31,02
765,20053,02,14,15,16,32,33,01
766,20052,02,08,13,29,32,33,15
767,20051,03,06,08,11,19,28,08
768,20050,04,09,17,20,32,33,15
769,20049,01,07,09,12,18,22,04
770,20048,12,14,18,23,30,32,02
771,20047,04,10,17,19,28,32,01
772,20046,13,19,25,26,27,32,08
773,20045,02,03,15,21,22,33,16
774,20044,07,08,16,17,19,24,07
775,20043,01,11,24,25,27,30,07
776,20042,02,06,07,11,14,31,03
777,20041,06,07,16,22,24,25,13
778,20040,01,06,12,16,19,21,04
779,20039,02,09,10,11,16,29,02
780,20038,01,06,07,18,23,24,15
781,20037,01,04,11,13,17,24,15
782,20036,07,09,16,22,24,32,06
783,20035,10,14,24,25,28,33,11
784,20034,02,08,15,16,26,32,03
785,20033,07,10,12,21,31,32,01
786,20032,03,11,13,14,15,26,13
787,20031,02,05,09,15,16,27,09
788,20030,17,18,21,29,30,32,03
789,20029,01,12,18,20,30,32,05
790,20028,05,06,15,18,26,32,08
791,20027,12,13,14,24,25,28,06
792,20026,01,04,09,18,19,31,06
793,20025,01,09,10,15,20,29,02
794,20024,10,13,27,28,29,31,08
795,20023,04,05,20,21,30,33,08
796,20022,02,10,20,22,25,30,02
797,20021,02,06,14,16,27,31,07
798,20020,01,06,09,13,15,22,14
799,20019,15,19,27,28,30,33,03
800,20018,05,07,08,11,17,22,13
801,20017,02,04,07,15,20,27,04
802,20016,05,06,08,17,24,27,07
803,20015,08,09,22,24,30,33,01
804,20014,02,07,08,10,12,16,07
805,20013,02,08,10,20,21,30,14
806,20012,04,13,14,23,26,31,09
807,20011,04,05,07,17,18,29,01
808,20010,11,14,22,27,31,32,09
809,20009,03,06,08,14,19,26,12
810,20008,01,04,06,10,11,28,16
811,20007,05,12,17,20,25,31,10
812,20006,03,04,05,10,16,32,09
813,20005,11,16,17,22,26,32,04
814,20004,02,15,17,27,32,33,03
815,20003,09,17,26,29,30,32,03
816,20002,04,09,14,15,16,29,11
817,20001,02,15,23,26,29,30,02
818,19151,02,06,09,18,24,26,14
819,19150,02,09,14,22,27,29,02
820,19149,01,06,27,28,31,33,07
821,19148,09,10,13,20,26,27,08
822,19147,01,09,12,14,23,27,12
823,19146,01,04,10,12,30,32,14
824,19145,01,08,13,17,18,19,16
825,19144,02,12,15,19,27,30,03
826,19143,05,13,15,16,26,32,09
827,19142,08,14,24,27,29,33,09
828,19141,10,13,14,15,17,33,14
829,19140,02,04,09,11,14,22,05
830,19139,08,14,20,23,30,33,11
831,19138,02,06,12,30,31,32,11
832,19137,07,10,13,19,23,31,06
833,19136,12,14,15,17,29,33,12
834,19135,03,06,10,11,27,33,03
835,19134,01,04,06,22,29,30,03
836,19133,03,07,16,21,24,31,07
837,19132,04,06,11,14,19,33,07
838,19131,09,17,19,20,24,31,04
839,19130,01,07,09,11,24,32,16
840,19129,03,04,07,09,15,26,07
841,19128,03,08,12,16,17,19,08
842,19127,02,06,07,12,17,24,10
843,19126,02,14,17,29,32,33,16
844,19125,02,11,12,26,27,29,03
845,19124,04,09,30,31,32,33,01
846,19123,02,06,08,17,28,30,06
847,19122,04,10,15,19,21,23,02
848,19121,02,06,15,21,30,31,02
849,19120,10,12,27,31,32,33,03
850,19119,04,20,22,24,26,33,07
851,19118,12,14,15,25,28,31,04
852,19117,03,05,11,28,32,33,01
853,19116,01,08,09,13,16,33,01
854,19115,04,10,11,14,15,29,05
855,19114,02,04,09,11,12,30,01
856,19113,01,05,19,21,25,33,15
857,19112,03,12,14,17,23,27,01
858,19111,07,18,20,22,24,33,01
859,19110,01,18,22,26,27,28,08
860,19109,03,06,07,17,28,31,10
861,19108,07,13,19,22,25,32,13
862,19107,02,06,08,23,27,32,02
863,19106,02,14,22,27,30,33,14
864,19105,02,13,15,17,26,33,01
865,19104,01,05,16,17,18,24,10
866,19103,04,12,14,21,27,29,12
867,19102,03,08,12,16,20,32,12
868,19101,01,04,09,21,31,33,05
869,19100,01,04,12,13,30,32,08
870,19099,07,14,22,23,27,30,08
871,19098,03,11,12,14,17,26,09
872,19097,03,05,18,24,25,31,09
873,19096,05,07,12,18,27,32,11
874,19095,02,05,14,19,21,28,01
875,19094,05,10,12,18,19,27,06
876,19093,05,07,08,09,20,22,02
877,19092,09,17,27,28,32,33,08
878,19091,07,10,21,24,29,32,11
879,19090,02,03,06,08,14,22,04
880,19089,02,04,14,16,20,22,11
881,19088,13,14,15,21,23,29,13
882,19087,04,05,07,09,21,30,04
883,19086,16,22,24,26,28,31,06
884,19085,01,04,14,18,24,29,04
885,19084,04,08,14,18,20,27,03
886,19083,06,15,17,26,28,31,03
887,19082,07,16,19,22,24,28,02
888,19081,05,24,27,29,31,32,10
889,19080,03,06,08,20,24,32,07
890,19079,01,03,06,09,19,31,16
891,19078,01,17,27,29,31,33,12
892,19077,09,11,13,18,21,22,15
893,19076,12,15,19,20,29,32,14
894,19075,05,08,20,22,31,33,03
895,19074,12,21,27,29,31,33,04
896,19073,01,02,06,12,16,18,08
897,19072,02,09,13,15,22,30,15
898,19071,01,08,19,24,29,30,04
899,19070,06,15,18,19,24,32,09
900,19069,06,11,16,19,21,25,01
901,19068,03,14,20,24,26,33,10
902,19067,04,06,08,11,30,33,11
903,19066,01,14,17,20,22,32,04
904,19065,06,09,11,15,20,26,10
905,19064,12,20,24,25,30,33,12
906,19063,01,14,19,22,29,31,16
907,19062,07,13,16,23,26,30,01
908,19061,03,17,19,24,27,31,12
909,19060,03,04,14,20,23,27,01
910,19059,04,05,07,09,16,18,06
911,19058,07,08,12,21,23,27,12
912,19057,04,05,06,08,13,18,16
913,19056,13,14,17,19,21,29,01
914,19055,01,06,11,15,19,31,10
915,19054,07,10,11,15,24,26,11
916,19053,04,16,22,25,29,31,08
917,19052,03,06,09,13,16,19,16
918,19051,08,09,10,13,15,28,09
919,19050,04,06,10,11,21,23,02
920,19049,03,10,13,22,23,28,15
921,19048,03,07,10,12,18,29,10
922,19047,03,11,18,25,30,33,14
923,19046,02,12,16,22,25,32,06
924,19045,01,06,17,19,27,31,14
925,19044,06,14,16,17,23,29,07
926,19043,01,06,12,13,24,32,13
927,19042,15,17,19,22,25,26,04
928,19041,02,09,13,23,24,26,16
929,19040,05,06,09,18,23,31,11
930,19039,06,07,11,14,27,32,08
931,19038,09,12,21,27,29,30,05
932,19037,01,07,12,14,18,25,10
933,19036,02,10,13,16,23,32,08
934,19035,01,05,07,09,10,20,16
935,19034,09,11,15,22,24,26,03
936,19033,09,15,19,21,23,29,15
937,19032,04,08,09,13,28,33,04
938,19031,03,13,15,18,21,33,16
939,19030,04,05,07,10,12,22,16
940,19029,08,11,17,23,32,33,10
941,19028,04,19,22,26,29,30,11
942,19027,02,06,08,10,11,17,13
943,19026,03,13,15,19,20,27,14
944,19025,15,16,21,27,30,33,04
945,19024,01,08,23,25,28,29,10
946,19023,01,10,14,15,18,31,13
947,19022,03,07,11,21,30,33,07
948,19021,02,05,07,08,20,27,04
949,19020,02,12,13,23,27,28,12
950,19019,03,11,17,18,24,25,06
951,19018,04,11,18,19,26,32,04
952,19017,04,05,24,28,30,33,09
953,19016,05,07,09,11,19,25,05
954,19015,11,15,16,20,24,31,04
955,19014,01,02,03,14,19,33,03
956,19013,05,07,14,16,18,21,01
957,19012,07,10,21,23,31,33,14
958,19011,10,13,19,21,24,30,07
959,19010,02,04,05,08,11,30,02
960,19009,01,07,10,22,31,32,15
961,19008,02,06,09,13,28,32,12
962,19007,06,10,14,15,19,23,15
963,19006,01,05,10,19,26,28,12
964,19005,21,22,26,28,31,32,07
965,19004,08,12,16,19,26,32,03
966,19003,13,17,20,21,22,27,01
967,19002,04,05,06,08,09,18,11
968,19001,06,10,13,15,32,33,15
969,18153,01,07,17,23,25,31,11
970,18152,04,14,16,23,28,29,03
971,18151,05,15,19,25,26,29,15
972,18150,06,08,15,19,20,31,05
973,18149,01,07,08,10,12,24,01
974,18148,03,06,18,19,21,31,01
975,18147,03,15,17,23,27,30,11
976,18146,02,10,11,17,18,29,16
977,18145,03,09,13,22,23,25,06
978,18144,08,13,17,18,20,27,13
979,18143,04,06,15,28,32,33,14
980,18142,05,08,10,11,27,28,11
981,18141,11,14,16,18,24,33,04
982,18140,01,15,20,22,25,28,14
983,18139,11,18,20,23,31,32,15
984,18138,01,10,25,27,30,32,09
985,18137,03,05,11,15,20,23,09
986,18136,10,12,15,25,26,27,14
987,18135,01,03,06,10,11,29,16
988,18134,03,16,18,31,32,33,12
989,18133,02,04,11,12,18,32,13
990,18132,01,02,09,10,15,22,06
991,18131,21,22,24,31,32,33,01
992,18130,05,12,17,18,24,28,12
993,18129,02,04,06,16,18,19,16
994,18128,06,07,08,19,22,23,02
995,18127,02,05,06,07,11,15,12
996,18126,01,06,08,09,14,22,05
997,18125,03,10,11,14,15,32,02
998,18124,09,13,14,19,22,25,02
999,18123,13,21,24,27,31,32,01
1000,18122,05,07,20,22,30,32,10
1001,18121,06,08,14,19,23,25,11
1002,18120,03,04,18,26,27,33,01
1003,18119,03,13,14,16,25,27,12
1004,18118,08,12,21,22,27,31,09
1005,18117,08,11,15,17,23,25,05
1006,18116,05,14,17,22,23,28,15
1007,18115,01,13,19,24,26,29,11
1008,18114,01,07,15,16,20,27,14
1009,18113,01,06,09,16,25,26,09
1010,18112,05,08,18,25,26,31,04
1011,18111,01,07,14,24,25,28,08
1012,18110,11,13,16,21,22,23,02
1013,18109,10,11,18,23,31,33,15
1014,18108,05,13,18,21,26,30,02
1015,18107,01,02,05,12,20,22,01
1016,18106,04,18,19,24,25,26,10
1017,18105,04,05,13,18,19,25,01
1018,18104,02,03,06,19,25,29,01
1019,18103,02,09,15,22,23,24,16
1020,18102,02,06,11,19,21,28,05
1021,18101,01,03,14,26,29,33,09
1022,18100,02,11,14,15,29,33,02
1023,18099,03,07,08,14,25,32,06
1024,18098,06,10,11,20,29,32,13
1025,18097,01,02,17,20,25,28,13
1026,18096,01,05,09,20,28,32,12
1027,18095,10,11,12,21,26,33,09
1028,18094,04,07,16,20,24,30,05
1029,18093,04,18,20,21,29,33,07
1030,18092,06,10,16,19,24,33,16
1031,18091,06,11,13,17,25,32,07
1032,18090,01,02,04,10,14,23,07
1033,18089,06,09,12,14,18,27,14
1034,18088,03,05,12,29,30,32,14
1035,18087,01,05,10,16,18,31,03
1036,18086,02,07,17,21,23,26,16
1037,18085,04,10,25,26,30,33,06
1038,18084,05,06,08,12,22,24,03
1039,18083,04,09,18,21,32,33,03
1040,18082,06,12,14,20,22,24,09
1041,18081,01,02,12,16,20,26,03
1042,18080,04,07,13,20,29,33,03
1043,18079,14,15,17,22,24,29,13
1044,18078,03,10,14,17,18,30,12
1045,18077,02,05,09,15,20,24,10
1046,18076,03,07,08,15,29,30,13
1047,18075,07,09,12,13,22,24,11
1048,18074,09,11,14,20,27,30,09
1049,18073,02,09,14,15,16,23,10
1050,18072,11,16,19,22,25,30,08
1051,18071,02,05,06,13,16,19,03
1052,18070,04,09,15,16,19,27,10
1053,18069,06,13,17,19,23,31,12
1054,18068,08,10,17,20,27,30,01
1055,18067,01,04,09,12,15,18,05
1056,18066,09,16,17,19,22,26,10
1057,18065,01,04,06,14,28,33,01
1058,18064,02,05,10,11,17,21,05
1059,18063,05,06,10,16,20,25,12
1060,18062,02,18,19,24,25,33,11
1061,18061,09,10,11,12,18,23,07
1062,18060,04,08,13,25,30,31,10
1063,18059,04,06,08,13,22,32,11
1064,18058,07,12,13,16,26,31,07
1065,18057,05,15,17,19,20,30,13
1066,18056,01,03,06,20,21,26,01
1067,18055,07,09,10,12,22,26,07
1068,18054,04,06,18,22,25,33,16
1069,18053,01,04,10,11,14,27,06
1070,18052,03,05,06,09,15,32,14
1071,18051,05,07,20,23,27,31,04
1072,18050,01,02,04,10,18,19,07
1073,18049,01,03,04,11,19,23,02
1074,18048,01,12,20,25,30,31,02
1075,18047,06,07,12,16,22,25,07
1076,18046,10,13,14,18,20,31,03
1077,18045,03,04,06,25,26,30,01
1078,18044,05,09,12,17,27,30,06
1079,18043,01,04,06,08,21,24,07
1080,18042,06,10,21,28,29,31,12
1081,18041,07,08,20,23,24,32,13
1082,18040,01,03,08,13,18,23,16
1083,18039,08,12,18,19,23,32,03
1084,18038,15,23,24,25,28,29,09
1085,18037,01,06,07,08,27,30,10
1086,18036,08,17,24,26,28,33,04
1087,18035,07,10,11,17,23,28,15
1088,18034,01,05,11,22,23,26,15
1089,18033,04,19,20,22,28,33,06
1090,18032,21,22,23,24,25,32,06
1091,18031,02,16,18,19,27,30,14
1092,18030,13,14,20,21,25,33,07
1093,18029,01,02,09,14,22,25,05
1094,18028,03,08,11,14,18,23,16
1095,18027,02,07,09,14,18,28,05
1096,18026,04,07,12,14,26,32,04
1097,18025,04,13,16,19,21,25,14
1098,18024,11,19,22,26,31,32,02
1099,18023,12,15,16,21,26,29,16
1100,18022,07,14,19,21,22,23,03
1101,18021,03,04,06,11,23,28,14
1102,18020,06,09,10,14,28,30,05
1103,18019,03,11,12,16,21,23,09
1104,18018,02,12,13,18,25,27,07
1105,18017,03,06,11,26,30,32,12
1106,18016,01,11,12,18,25,27,16
1107,18015,11,15,20,21,26,33,15
1108,18014,09,12,20,24,28,31,07
1109,18013,06,08,13,15,22,33,06
1110,18012,11,12,13,19,26,28,12
1111,18011,03,10,21,23,27,33,11
1112,18010,01,08,17,20,21,22,03
1113,18009,05,10,17,23,26,32,07
1114,18008,05,09,10,12,17,19,13
1115,18007,13,14,20,25,27,31,12
1116,18006,02,07,08,09,17,29,11
1117,18005,02,20,21,28,31,33,06
1118,18004,14,18,19,26,30,31,11
1119,18003,01,14,16,17,20,31,04
1120,18002,07,18,24,29,31,33,16
1121,18001,01,08,11,26,28,31,04
1122,17154,05,09,13,15,18,26,05
1123,17153,07,11,12,13,18,19,16
1124,17152,06,10,23,25,26,29,05
1125,17151,02,05,07,09,11,27,16
1126,17150,06,14,19,20,21,23,08
1127,17149,05,08,15,20,27,30,13
1128,17148,04,07,11,14,29,32,12
1129,17147,03,07,20,21,25,31,14
1130,17146,01,19,25,26,27,33,10
1131,17145,02,06,12,17,25,28,12
1132,17144,03,14,16,20,31,32,09
1133,17143,04,06,09,14,20,29,14
1134,17142,08,13,14,18,23,33,06
1135,17141,01,06,07,11,13,15,05
1136,17140,21,22,25,28,29,30,08
1137,17139,02,14,20,24,28,32,16
1138,17138,01,17,24,28,32,33,02
1139,17137,05,10,20,23,26,31,03
1140,17136,03,07,10,18,21,24,12
1141,17135,01,06,07,14,18,26,16
1142,17134,04,05,11,14,28,32,04
1143,17133,06,15,17,18,23,30,11
1144,17132,02,03,05,09,13,28,11
1145,17131,01,07,10,11,26,27,11
1146,17130,05,13,14,23,25,31,02
1147,17129,05,06,09,14,21,33,02
1148,17128,02,06,13,22,29,31,08
1149,17127,14,15,21,24,27,32,12
1150,17126,01,16,17,21,27,30,16
1151,17125,01,14,23,25,29,30,03
1152,17124,02,06,11,26,28,29,03
1153,17123,04,05,06,11,21,31,10
1154,17122,11,20,21,22,24,27,15
1155,17121,11,18,19,22,24,32,07
1156,17120,08,10,15,19,23,28,16
1157,17119,09,16,21,25,26,31,14
1158,17118,08,09,15,22,30,33,16
1159,17117,01,02,08,11,14,21,09
1160,17116,02,14,20,22,30,32,02
1161,17115,04,10,11,25,30,31,01
1162,17114,06,12,13,15,18,26,13
1163,17113,04,06,16,27,29,33,05
1164,17112,03,10,14,16,22,23,11
1165,17111,05,10,17,19,29,32,12
1166,17110,01,03,12,15,19,23,14
1167,17109,08,14,16,18,21,23,16
1168,17108,07,12,14,15,17,20,01
1169,17107,08,09,15,17,30,32,06
1170,17106,12,15,20,25,27,31,02
1171,17105,03,06,07,12,25,26,07
1172,17104,01,14,15,20,23,30,14
1173,17103,01,21,23,25,31,33,01
1174,17102,04,08,10,14,18,20,11
1175,17101,01,04,11,28,31,32,16
1176,17100,04,07,08,18,23,24,02
1177,17099,02,05,06,16,28,29,04
1178,17098,04,19,22,27,30,33,01
1179,17097,05,10,18,19,30,31,03
1180,17096,02,06,11,12,19,29,06
1181,17095,09,10,12,19,22,29,16
1182,17094,08,11,13,19,28,31,06
1183,17093,07,08,09,15,22,27,12
1184,17092,10,18,19,29,32,33,09
1185,17091,05,07,10,23,28,29,03
1186,17090,01,07,10,16,22,33,09
1187,17089,11,12,13,16,23,25,12
1188,17088,07,09,18,22,23,29,06
1189,17087,03,06,13,14,19,28,06
1190,17086,03,05,06,13,20,22,07
1191,17085,01,05,06,16,25,30,09
1192,17084,01,05,11,20,22,24,02
1193,17083,03,08,14,20,24,26,12
1194,17082,14,18,21,25,28,29,10
1195,17081,03,05,14,25,26,30,05
1196,17080,01,12,16,20,22,24,08
1197,17079,03,07,14,23,25,27,08
1198,17078,05,07,18,19,22,24,16
1199,17077,01,02,04,15,17,22,14
1200,17076,01,04,08,09,14,15,13
1201,17075,01,03,06,19,21,29,07
1202,17074,02,06,16,23,30,31,02
1203,17073,03,06,16,23,26,30,14
1204,17072,06,11,14,23,26,30,02
1205,17071,02,03,06,14,31,32,03
1206,17070,01,06,14,22,25,26,12
1207,17069,02,11,12,23,29,31,05
1208,17068,02,06,10,22,30,31,15
1209,17067,01,03,04,10,18,29,04
1210,17066,01,04,06,17,19,26,03
1211,17065,02,05,08,10,12,21,07
1212,17064,02,10,16,22,24,28,15
1213,17063,12,16,20,22,25,31,04
1214,17062,01,07,22,24,26,31,10
1215,17061,06,07,12,20,26,27,11
1216,17060,05,10,13,24,26,31,04
1217,17059,04,08,09,15,19,25,09
1218,17058,01,09,13,22,28,32,11
1219,17057,18,20,22,23,30,31,16
1220,17056,13,14,18,19,21,28,06
1221,17055,07,12,13,20,24,31,05
1222,17054,02,03,09,23,28,33,08
1223,17053,04,09,11,15,29,31,06
1224,17052,07,08,18,24,29,31,07
1225,17051,02,05,09,15,24,25,11
1226,17050,10,12,20,24,27,29,07
1227,17049,01,08,14,15,20,29,10
1228,17048,05,08,09,14,15,19,07
1229,17047,02,05,08,10,32,33,02
1230,17046,04,13,14,23,26,32,10
1231,17045,05,07,16,20,21,25,05
1232,17044,08,16,19,21,31,32,06
1233,17043,08,13,16,23,27,31,08
1234,17042,01,02,04,07,10,23,04
1235,17041,04,10,13,15,22,27,04
1236,17040,15,19,23,28,29,33,04
1237,17039,02,04,12,14,17,24,15
1238,17038,01,04,08,13,24,27,05
1239,17037,11,15,20,22,25,30,05
1240,17036,01,02,05,10,24,27,15
1241,17035,01,06,14,24,28,32,12
1242,17034,04,07,08,19,32,33,13
1243,17033,05,07,15,20,23,30,15
1244,17032,05,08,15,24,27,31,11
1245,17031,06,10,16,26,27,29,03
1246,17030,01,07,09,20,23,30,02
1247,17029,02,15,21,23,25,30,10
1248,17028,07,08,12,13,22,30,09
1249,17027,02,04,11,14,27,30,05
1250,17026,03,10,12,19,27,30,08
1251,17025,02,15,16,17,22,32,07
1252,17024,09,21,25,26,29,31,13
1253,17023,01,03,04,11,18,22,14
1254,17022,02,06,15,16,18,32,15
1255,17021,02,05,10,22,32,33,09
1256,17020,04,08,10,12,31,33,10
1257,17019,04,06,08,12,23,25,08
1258,17018,01,02,03,17,25,31,09
1259,17017,03,07,08,10,22,23,12
1260,17016,05,08,16,22,27,29,02
1261,17015,01,08,09,14,17,32,01
1262,17014,06,08,18,20,23,31,13
1263,17013,08,11,28,29,31,33,06
1264,17012,10,11,14,15,16,24,07
1265,17011,10,11,12,23,26,29,16
1266,17010,05,08,19,25,28,30,07
1267,17009,02,06,08,09,15,29,14
1268,17008,07,13,15,27,28,29,13
1269,17007,02,04,05,24,26,33,15
1270,17006,02,04,08,26,29,33,08
1271,17005,06,11,12,22,23,30,05
1272,17004,05,13,17,26,27,30,07
1273,17003,01,04,08,15,27,32,16
1274,17002,15,19,23,24,25,32,03
1275,17001,09,11,14,20,25,26,15
1276,16153,07,09,16,24,25,29,06
1277,16152,02,08,09,16,20,22,07
1278,16151,06,11,16,20,22,33,07
1279,16150,02,04,05,09,13,21,05
1280,16149,03,20,23,26,32,33,07
1281,16148,01,02,11,20,26,30,14
1282,16147,04,14,18,28,31,32,12
1283,16146,03,07,15,16,17,23,10
1284,16145,01,03,07,12,19,20,06
1285,16144,04,10,12,27,32,33,05
1286,16143,06,09,23,24,25,33,13
1287,16142,01,10,17,21,23,30,12
1288,16141,04,13,15,17,21,24,15
1289,16140,01,02,05,17,26,32,10
1290,16139,01,06,19,26,28,30,03
1291,16138,07,16,20,24,25,30,07
1292,16137,01,06,09,10,15,32,14
1293,16136,02,07,10,20,27,29,03
1294,16135,02,08,10,18,20,33,12
1295,16134,11,12,13,14,18,33,13
1296,16133,15,16,21,22,27,33,15
1297,16132,05,08,13,19,27,28,07
1298,16131,04,10,18,19,25,27,02
1299,16130,03,17,21,23,27,28,01
1300,16129,05,06,08,21,31,33,14
1301,16128,04,09,11,17,26,27,13
1302,16127,07,12,17,26,29,31,16
1303,16126,02,06,12,17,18,19,10
1304,16125,01,06,08,20,27,30,03
1305,16124,09,15,21,24,27,32,10
1306,16123,07,09,12,14,20,27,16
1307,16122,15,22,23,24,28,29,08
1308,16121,02,03,10,23,25,28,09
1309,16120,02,05,06,21,25,28,09
1310,16119,09,19,21,30,31,32,04
1311,16118,09,14,22,23,31,33,14
1312,16117,03,10,14,17,28,33,02
1313,16116,07,18,20,23,27,31,13
1314,16115,06,08,20,22,26,27,09
1315,16114,05,16,20,22,27,29,09
1316,16113,01,11,16,17,20,26,14
1317,16112,06,12,14,15,18,25,12
1318,16111,02,04,07,14,15,32,04
1319,16110,05,07,28,31,32,33,08
1320,16109,09,11,15,16,27,33,05
1321,16108,02,03,07,08,19,26,16
1322,16107,06,11,18,26,27,32,01
1323,16106,04,05,13,22,25,30,04
1324,16105,08,10,19,27,28,31,16
1325,16104,05,09,11,18,30,31,04
1326,16103,01,05,13,19,24,27,11
1327,16102,05,08,10,14,17,30,13
1328,16101,01,03,19,24,32,33,01
1329,16100,03,10,22,23,27,29,04
1330,16099,01,11,21,23,27,33,06
1331,16098,02,08,25,29,31,32,06
1332,16097,06,13,25,26,28,31,01
1333,16096,06,13,14,21,22,24,16
1334,16095,01,05,09,12,18,32,12
1335,16094,06,07,10,12,18,31,10
1336,16093,06,09,15,17,25,27,09
1337,16092,02,13,15,23,24,29,06
1338,16091,04,08,14,22,23,28,07
1339,16090,02,13,17,20,21,26,07
1340,16089,01,03,14,30,31,32,08
1341,16088,03,14,16,18,25,33,15
1342,16087,02,03,10,11,14,21,12
1343,16086,09,10,11,12,15,32,05
1344,16085,01,12,19,20,21,25,16
1345,16084,02,04,12,18,24,26,05
1346,16083,09,16,17,24,30,31,04
1347,16082,06,12,14,15,17,20,09
1348,16081,02,06,15,25,30,32,07
1349,16080,01,16,17,24,25,32,14
1350,16079,01,03,10,12,24,28,02
1351,16078,02,04,08,23,26,29,02
1352,16077,01,09,17,19,20,29,10
1353,16076,07,08,13,22,30,32,01
1354,16075,01,03,06,16,29,32,07
1355,16074,06,10,11,12,20,25,12
1356,16073,09,11,12,15,16,20,13
1357,16072,05,16,19,22,24,25,02
1358,16071,19,21,26,28,29,32,01
1359,16070,03,06,11,18,23,29,01
1360,16069,08,10,11,20,21,27,11
1361,16068,08,19,23,28,31,32,01
1362,16067,09,13,18,20,27,31,04
1363,16066,03,07,13,18,19,20,05
1364,16065,13,16,22,25,26,27,14
1365,16064,03,12,14,17,19,26,03
1366,16063,16,17,18,23,28,32,07
1367,16062,12,13,15,18,19,21,09
1368,16061,05,06,08,18,20,32,08
1369,16060,04,05,22,26,29,32,08
1370,16059,04,11,12,20,25,28,15
1371,16058,03,05,18,20,24,32,11
1372,16057,07,12,19,22,23,26,11
1373,16056,03,04,08,11,16,18,14
1374,16055,05,06,10,16,22,26,11
1375,16054,06,11,16,19,28,32,04
1376,16053,02,08,10,12,29,31,01
1377,16052,01,06,13,19,24,28,16
1378,16051,01,02,04,09,15,33,12
1379,16050,09,12,24,28,29,30,02
1380,16049,06,08,13,14,22,27,10
1381,16048,03,08,13,14,15,30,04
1382,16047,02,05,08,15,17,22,16
1383,16046,07,20,25,26,27,30,14
1384,16045,04,09,12,17,30,32,03
1385,16044,01,03,10,12,18,30,01
1386,16043,05,14,20,26,30,33,12
1387,16042,07,14,17,23,26,31,09
1388,16041,12,17,18,21,22,24,04
1389,16040,03,13,19,20,23,26,03
1390,16039,01,03,07,18,19,27,16
1391,16038,03,12,13,22,28,29,03
1392,16037,06,15,26,31,32,33,16
1393,16036,03,04,07,09,20,22,03
1394,16035,04,13,19,20,26,29,11
1395,16034,03,15,21,22,23,28,15
1396,16033,06,17,18,20,27,29,15
1397,16032,08,12,14,15,21,27,15
1398,16031,03,08,10,19,26,33,03
1399,16030,10,14,19,22,25,29,12
1400,16029,12,15,18,20,21,27,15
1401,16028,06,08,12,21,25,29,01
1402,16027,11,13,15,17,19,31,05
1403,16026,04,09,12,28,30,33,01
1404,16025,04,11,12,17,24,30,12
1405,16024,02,05,07,14,18,31,13
1406,16023,03,06,10,19,25,29,07
1407,16022,04,09,19,22,23,30,07
1408,16021,09,11,13,22,24,26,05
1409,16020,01,02,10,12,22,24,10
1410,16019,06,13,16,17,23,30,10
1411,16018,12,13,14,17,21,25,04
1412,16017,05,06,08,20,22,30,05
1413,16016,01,20,22,24,25,26,16
1414,16015,01,02,14,22,25,26,07
1415,16014,02,08,10,18,20,27,07
1416,16013,07,12,21,22,26,31,01
1417,16012,07,12,14,16,27,32,15
1418,16011,03,08,10,15,22,29,12
1419,16010,02,04,12,14,19,25,06
1420,16009,10,14,24,25,27,32,04
1421,16008,02,15,24,29,32,33,02
1422,16007,05,12,14,20,27,29,06
1423,16006,13,16,18,20,28,31,12
1424,16005,11,14,18,20,31,33,14
